"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 17:54:34 GMT 2024","Fri Aug 23 17:54:36 GMT 2024","1829","","Checkout","","","","Checkout with empty zip code field",""
"passed","Fri Aug 23 17:54:32 GMT 2024","Fri Aug 23 17:54:34 GMT 2024","1854","","Checkout","","","","Checkout with empty last name field",""
"passed","Fri Aug 23 17:54:52 GMT 2024","Fri Aug 23 17:54:53 GMT 2024","493","","Login page","","","","Login with an invalid password",""
"passed","Fri Aug 23 17:54:51 GMT 2024","Fri Aug 23 17:54:51 GMT 2024","497","","Login page","","","","Login with the empty username field",""
"broken","Fri Aug 23 17:54:45 GMT 2024","Fri Aug 23 17:54:45 GMT 2024","0","","Inventory page","","","","Verifying the ""All items"" link",""
"passed","Fri Aug 23 17:54:36 GMT 2024","Fri Aug 23 17:54:38 GMT 2024","2109","","Checkout","","","","Cancel the checkout",""
"passed","Fri Aug 23 17:54:52 GMT 2024","Fri Aug 23 17:54:52 GMT 2024","486","","Login page","","","","Login with an invalid username",""
"passed","Fri Aug 23 17:54:51 GMT 2024","Fri Aug 23 17:54:52 GMT 2024","485","","Login page","","","","Login with the empty password field",""
"passed","Fri Aug 23 17:54:41 GMT 2024","Fri Aug 23 17:54:45 GMT 2024","3402","","Inventory page","","","","Verifying the ""About"" link",""
"passed","Fri Aug 23 17:54:31 GMT 2024","Fri Aug 23 17:54:32 GMT 2024","1607","","Checkout","","","","Checkout with empty first name field",""
"passed","Fri Aug 23 17:54:50 GMT 2024","Fri Aug 23 17:54:51 GMT 2024","539","","Login page","","","","Login with the locked out user",""
"passed","Fri Aug 23 17:54:49 GMT 2024","Fri Aug 23 17:54:50 GMT 2024","1042","","Login page","","","","Login with valid credentials",""
"passed","Fri Aug 23 17:54:28 GMT 2024","Fri Aug 23 17:54:31 GMT 2024","2825","","Checkout","","","","Checkout",""
