"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 17:19:32 GMT 2024","Fri Aug 23 17:19:35 GMT 2024","2293","","Checkout","","","","Checkout with empty first name field",""
"passed","Fri Aug 23 17:19:31 GMT 2024","Fri Aug 23 17:19:32 GMT 2024","693","","Login page","","","","Login with the empty username field",""
"passed","Fri Aug 23 17:19:33 GMT 2024","Fri Aug 23 17:19:34 GMT 2024","579","","Login page","","","","Login with an invalid password",""
"broken","Fri Aug 23 17:19:35 GMT 2024","Fri Aug 23 17:19:35 GMT 2024","0","","Inventory page","","","","Verifying the ""All items"" link",""
"passed","Fri Aug 23 17:19:32 GMT 2024","Fri Aug 23 17:19:32 GMT 2024","676","","Login page","","","","Login with the empty password field",""
"passed","Fri Aug 23 17:19:30 GMT 2024","Fri Aug 23 17:19:31 GMT 2024","583","","Login page","","","","Login with the locked out user",""
"passed","Fri Aug 23 17:19:39 GMT 2024","Fri Aug 23 17:19:41 GMT 2024","2014","","Checkout","","","","Cancel the checkout",""
"passed","Fri Aug 23 17:19:35 GMT 2024","Fri Aug 23 17:19:37 GMT 2024","2112","","Checkout","","","","Checkout with empty last name field",""
"passed","Fri Aug 23 17:19:28 GMT 2024","Fri Aug 23 17:19:30 GMT 2024","2257","","Login page","","","","Login with valid credentials",""
"passed","Fri Aug 23 17:19:28 GMT 2024","Fri Aug 23 17:19:35 GMT 2024","7086","","Inventory page","","","","Verifying the ""About"" link",""
"passed","Fri Aug 23 17:19:28 GMT 2024","Fri Aug 23 17:19:32 GMT 2024","4153","","Checkout","","","","Checkout",""
"passed","Fri Aug 23 17:19:37 GMT 2024","Fri Aug 23 17:19:39 GMT 2024","1808","","Checkout","","","","Checkout with empty zip code field",""
"passed","Fri Aug 23 17:19:32 GMT 2024","Fri Aug 23 17:19:33 GMT 2024","854","","Login page","","","","Login with an invalid username",""
